fid;Kanton;ID_Nr;Latte;Latte-ID;x;y;Dat_Kontrolle;NameMitarbeiter;SampleID;RESULTAT;Male;mtDNAcod;IndividuenID;BioGeoRegions;AltitudeMedian;SettlementProportion;ForestProportion;TypoCH_NUM;TypoCH;OBJEKTART;Distance;Bemerkung
282;SO;614258;C;614258C;614750;258200;13.03.2019;Wampfler;WKMIII302_3_57;Wc;F_orUnknown;Wmt;Wc14;Jura;451;0.09;0.70;621;Orchideen-Buchenwald;Wald;172.14553;
283;SO;617238;B;617238B;617698;238818;12.03.2019;Brunner;WKMIII316_3_77;Wc;F_orUnknown;Wmt;Wc16;Jura;763;0.02;0.92;623;Waldmeister-Buchenwald;Wald;359.2330426;
284;SO;617246;C;617246C;617743;246876;10.04.2019;Wehrli;WKMIII414_9_26;Wmt;F_orUnknown;Wmt;;Jura;1029;0.00;0.61;62;Buchenwälder;Wald;748.7411516;
285;SO;617254;A;617254A;617336;254874;12.02.2019;Brunner;WKMIII159_2_17;Dc;DY;Dmt;Dc49;Jura;530;0.07;0.39;623;Waldmeister-Buchenwald;Wald;113.2679862;
286;SO;617254;A;617254A;617336;254874;26.02.2019;Brunner;WKMIII237_8_42;Dc;DY;Dmt;Dc49;Jura;530;0.07;0.39;623;Waldmeister-Buchenwald;Wald;113.2679862;
287;SO;617254;A;617254A;617336;254874;12.03.2019;Brunner;WKMIII317_8_79;Dc;F_orUnknown;Dmt;DcSec35;Jura;530;0.07;0.39;623;Waldmeister-Buchenwald;Wald;113.2679862;
288;SO;611238;C;611238C;611498;238911;21.01.2020;Brunner;WKMIV572_11_11;Dc;DY;Dmt;Dc46;Jura;584;0.18;0.26;621;Orchideen-Buchenwald;Wald;60.70599321;
289;SO;611238;C;611238C;611498;238911;17.03.2020;Brunner;WKMIV766_13_35;Dc;DY;Dmt;Dc47;Jura;584;0.18;0.26;621;Orchideen-Buchenwald;Wald;60.70599321;
290;SO;611246;A;611246A;611248;246226;18.02.2020;Wehrli;WKMIV663_15_43;Dmt;Unclear;Dmt;;Jura;730;0.02;0.55;623;Waldmeister-Buchenwald;Wald;31.67011623;
291;SO;611246;A;611246A;611248;246226;03.03.2020;Wehrli;WKMIV706_16_44;Dmt;F_orUnknown;Dmt;;Jura;730;0.02;0.55;623;Waldmeister-Buchenwald;Wald;31.67011623;
